"YEAR","Level","SYS_SCH","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLNAME","SCHOOLID","PCT_ASIAN","PCT_NATIVE","PCT_BLACK","PCT_HISPANIC","PCT_MULTI","PCT_WHITE","PCT_ED","PCT_SWD","PCT_LEP"
"2022","DISTRICT","644","Metro RESA","644","DeKalb County","DeKalb County","644","6.3",".4","60.1","20.3","2.6","10.3",34.6,11.4,19.9
"2023","DISTRICT","644","Metro RESA","644","DeKalb County","DeKalb County","644","6.2",".4","59","21.4","2.9","10.1",39,11.6,21.1
"2024","DISTRICT","644","Metro RESA","644","DeKalb County","DeKalb County","644","6.4",".4","57.2","22.8","3","10.2",60.6,11.9,23.2
"2025","DISTRICT","644","Metro RESA","644","DeKalb County","DeKalb County","644","6.8",".5","55.8","23.2","3.2","10.5",53.6,12.2,24.6
"2018","SCHOOL","6440100","Metro RESA","644","DeKalb County","Narvie Harris Elementary School","0100","1","0","97","2","1","1",30.1,5,1
"2019","SCHOOL","6440100","Metro RESA","644","DeKalb County","Narvie J. Harris Elementary School","0100","0","0","97","2","0","0",28.6,4,1
"2020","SCHOOL","6440100","Metro RESA","644","DeKalb County","Narvie Harris Elementary School","0100","0","0","97","2","0","0",30.6,3.4,1
"2021","SCHOOL","6440100","Metro RESA","644","DeKalb County","Narvie Harris Elementary School","0100","0","0","96","2","1","0",36.3,3.4,0
"2022","SCHOOL","6440100","Metro RESA","644","DeKalb County","Narvie Harris Elementary School","0100",".2",".5","96.1","2.2",".9",".2",30.2,4.3,0
"2023","SCHOOL","6440100","Metro RESA","644","DeKalb County","Narvie Harris Elementary School","0100","0",".5","96.5","1.8",".9",".2",30.7,5.1,0
"2024","SCHOOL","6440100","Metro RESA","644","DeKalb County","Narvie Harris Elementary School","0100","0",".6","95.9","2.5",".8",".2",60.7,6.6,0
"2025","SCHOOL","6440100","Metro RESA","644","DeKalb County","Narvie Harris Elementary School","0100",".4",".6","93.3","3.3","2.1",".2",55.2,7.5,0.6
"2018","SCHOOL","6440102","Metro RESA","644","DeKalb County","Wynbrooke Elementary School","0102","0","0","97","1","1","0",26.4,6,3
"2019","SCHOOL","6440102","Metro RESA","644","DeKalb County","Wynbrooke Elementary School","0102","0","0","97","1","1","0",25.7,7,3
"2020","SCHOOL","6440102","Metro RESA","644","DeKalb County","Wynbrooke Elementary School","0102","0","0","95","2","2","1",25.2,8,3
"2021","SCHOOL","6440102","Metro RESA","644","DeKalb County","Wynbrooke Elementary School","0102","0","0","95","2","2","0",32.6,7.2,2
"2022","SCHOOL","6440102","Metro RESA","644","DeKalb County","Wynbrooke Elementary School","0102",".3","0","93.3","3.7","2.5",".1",25.2,7.9,2.8
"2023","SCHOOL","6440102","Metro RESA","644","DeKalb County","Wynbrooke Elementary School","0102",".3","0","92.7","5","1.7",".2",24.6,10.1,2.8
"2024","SCHOOL","6440102","Metro RESA","644","DeKalb County","Wynbrooke Elementary School","0102",".4","0","92.3","5.3","2","0",55.7,10.6,3.1
"2025","SCHOOL","6440102","Metro RESA","644","DeKalb County","Wynbrooke Elementary School","0102","1.1","0","91.8","5.2","1.7",".2",46.2,12.3,4.3
"2018","SCHOOL","6440103","Metro RESA","644","DeKalb County","Martin Luther King, Jr. High School","0103","0","0","96","1","1","1",40.8,13,1
"2019","SCHOOL","6440103","Metro RESA","644","DeKalb County","Martin Luther King, Jr. High School","0103","0","0","96","2","2","0",39.4,13,1
"2020","SCHOOL","6440103","Metro RESA","644","DeKalb County","Martin Luther King, Jr. High School","0103","0","0","95","2","2","1",39.9,12.5,1
"2021","SCHOOL","6440103","Metro RESA","644","DeKalb County","Martin Luther King, Jr. High School","0103","0","0","94","3","1","1",44.4,13.2,1
"2022","SCHOOL","6440103","Metro RESA","644","DeKalb County","Martin Luther King, Jr. High School","0103",".2",".1","93","3.4","1.9","1.4",37.7,13.5,1.6
"2023","SCHOOL","6440103","Metro RESA","644","DeKalb County","Martin Luther King, Jr. High School","0103",".1",".4","92.3","4","2.1","1.1",43.2,14.8,1.7
"2024","SCHOOL","6440103","Metro RESA","644","DeKalb County","Martin Luther King, Jr. High School","0103",".3",".3","91.5","4.3","2.3","1.3",70.4,16.6,2
"2025","SCHOOL","6440103","Metro RESA","644","DeKalb County","Martin Luther King, Jr. High School","0103",".6",".2","90.9","4.9","2.3","1",61.5,17.1,3.1
"2018","SCHOOL","6440105","Metro RESA","644","DeKalb County","Miller Grove High School","0105","1","0","95","2","1","0",46.5,13,2
"2019","SCHOOL","6440105","Metro RESA","644","DeKalb County","Miller Grove High School","0105","1","0","95","2","1","0",43.3,14,2
"2020","SCHOOL","6440105","Metro RESA","644","DeKalb County","Miller Grove High School","0105","1","0","94","2","2","0",43,14.4,3
"2021","SCHOOL","6440105","Metro RESA","644","DeKalb County","Miller Grove High School","0105","1","0","93","3","2","0",49.6,14,2
"2022","SCHOOL","6440105","Metro RESA","644","DeKalb County","Miller Grove High School","0105",".6",".4","93.3","3.5","2",".1",42.1,14.3,2.5
"2023","SCHOOL","6440105","Metro RESA","644","DeKalb County","Miller Grove High School","0105",".3",".4","92.1","4.8","1.9",".5",46.2,13.8,3.4
"2024","SCHOOL","6440105","Metro RESA","644","DeKalb County","Miller Grove High School","0105",".6",".2","90.7","5.7","2.4",".4",71.6,14.5,3.6
"2025","SCHOOL","6440105","Metro RESA","644","DeKalb County","Miller Grove High School","0105",".9",".2","90.1","6.5","1.5",".7",62.8,16.8,4.4
"2018","SCHOOL","6440107","Metro RESA","644","DeKalb County","Flat Rock Elementary School","0107","0","0","94","2","2","1",61.7,8,1
"2019","SCHOOL","6440107","Metro RESA","644","DeKalb County","Flat Rock Elementary School","0107","0","0","95","2","2","0",61.5,7,1
"2020","SCHOOL","6440107","Metro RESA","644","DeKalb County","Flat Rock Elementary School","0107","0","0","93","3","3","1",62.5,7.4,1
"2021","SCHOOL","6440107","Metro RESA","644","DeKalb County","Flat Rock Elementary School","0107","0","0","93","4","2","0",69.7,9,1
"2022","SCHOOL","6440107","Metro RESA","644","DeKalb County","Flat Rock Elementary School","0107",".3",".1","91.9","5.2","1.5","1",55.4,9.1,1.9
"2023","SCHOOL","6440107","Metro RESA","644","DeKalb County","Flat Rock Elementary School","0107",".4",".4","88.8","7.1","2.2","1",54.6,8.8,1.6
"2024","SCHOOL","6440107","Metro RESA","644","DeKalb County","Flat Rock Elementary School","0107",".5",".6","89","6.8","2.3",".8",80.3,10.3,2
"2025","SCHOOL","6440107","Metro RESA","644","DeKalb County","Flat Rock Elementary School","0107",".8",".5","89.3","5.8","3.1",".5",75.3,12.2,2.6
"2018","SCHOOL","6440108","Metro RESA","644","DeKalb County","Princeton Elementary School","0108","0","0","90","6","3","0",51.2,11,1
"2019","SCHOOL","6440108","Metro RESA","644","DeKalb County","Princeton Elementary School","0108","0","0","90","6","3","1",54.1,11,3
"2020","SCHOOL","6440108","Metro RESA","644","DeKalb County","Princeton Elementary School","0108","0","0","91","6","3","1",52.9,11.3,4
"2021","SCHOOL","6440108","Metro RESA","644","DeKalb County","Princeton Elementary School","0108","0","0","89","8","2","1",62.9,12.4,4
"2022","SCHOOL","6440108","Metro RESA","644","DeKalb County","Princeton Elementary School","0108","1",".6","88.3","6.6","2.6",".9",49.8,14.7,3.2
"2023","SCHOOL","6440108","Metro RESA","644","DeKalb County","Princeton Elementary School","0108",".8",".5","87.9","8.2","2.6","0",55.1,11.4,2.6
"2024","SCHOOL","6440108","Metro RESA","644","DeKalb County","Princeton Elementary School","0108","1.2",".6","85.5","9.4","2.8",".5",76.3,12.1,2.9
"2025","SCHOOL","6440108","Metro RESA","644","DeKalb County","Princeton Elementary School","0108","1.8",".5","85","8.6","3.6",".5",70.8,14.2,3.4
"2018","SCHOOL","6440112","Metro RESA","644","DeKalb County","Destiny Achievers Academy of Excellence","0112","0","0","99","1","0","0",59.3,7,0
"2018","SCHOOL","6440113","Metro RESA","644","DeKalb County","DeKalb Preparatory Academy","0113","1","0","95","3","1","1",47.6,8,2
"2019","SCHOOL","6440113","Metro RESA","644","DeKalb County","DeKalb Preparatory Academy Charter","0113","1","0","95","2","1","0",49.1,7,2
"2020","SCHOOL","6440113","Metro RESA","644","DeKalb County","DeKalb Preparatory Academy Charter","0113","1","0","96","3","1","0",50.4,9,2
"2021","SCHOOL","6440113","Metro RESA","644","DeKalb County","DeKalb Preparatory Academy Charter","0113","0","0","96","3","1","0",58.1,7.3,1
"2022","SCHOOL","6440113","Metro RESA","644","DeKalb County","DeKalb Preparatory Academy Charter","0113",".7","0","95.8","2.9",".5",".2",44.3,8.7,1.5
"2023","SCHOOL","6440113","Metro RESA","644","DeKalb County","DeKalb Preparatory Academy Charter","0113",".8","0","95","3.3",".8","0",50.9,8.1,1.2
"2024","SCHOOL","6440113","Metro RESA","644","DeKalb County","DeKalb Preparatory Academy Charter","0113",".3",".2","93.7","3.9","1.9","0",79.5,10.3,0.5
"2025","SCHOOL","6440113","Metro RESA","644","DeKalb County","DeKalb Preparatory Academy Charter","0113",".5",".2","94.4","2.6","2.3","0",67.2,8.9,0.9
"2018","SCHOOL","6440172","Metro RESA","644","DeKalb County","Cedar Grove High School","0172","0","0","95","3","1","1",39.3,12,2
"2019","SCHOOL","6440172","Metro RESA","644","DeKalb County","Cedar Grove High School","0172","0","0","96","3","1","0",36.8,15,1
"2020","SCHOOL","6440172","Metro RESA","644","DeKalb County","Cedar Grove High School","0172","0","0","94","3","1","1",36.8,15.3,1
"2021","SCHOOL","6440172","Metro RESA","644","DeKalb County","Cedar Grove High School","0172","0","0","94","3","2","1",46.7,13.9,1
"2022","SCHOOL","6440172","Metro RESA","644","DeKalb County","Cedar Grove High School","0172",".1",".3","92.3","4.4","2.1",".9",41.2,15.5,1.6
"2023","SCHOOL","6440172","Metro RESA","644","DeKalb County","Cedar Grove High School","0172",".2",".4","91.4","5.3","2.1",".6",42.4,15.5,2
"2024","SCHOOL","6440172","Metro RESA","644","DeKalb County","Cedar Grove High School","0172",".5",".5","90.2","5.9","2.3",".6",67.6,14.5,3.2
"2025","SCHOOL","6440172","Metro RESA","644","DeKalb County","Cedar Grove High School","0172",".6",".3","91.7","5.7","1.7",".1",59.5,16.6,3.1
"2018","SCHOOL","6440173","Metro RESA","644","DeKalb County","Vanderlyn Elementary School","0173","39","0","4","6","2","48",1.2,6,16
"2019","SCHOOL","6440173","Metro RESA","644","DeKalb County","Vanderlyn Elementary School","0173","40","0","4","6","2","47",0.8,7,17
"2020","SCHOOL","6440173","Metro RESA","644","DeKalb County","Vanderlyn Elementary School","0173","43","1","3","5","2","46",0.4,8.6,19
"2021","SCHOOL","6440173","Metro RESA","644","DeKalb County","Vanderlyn Elementary School","0173","42","1","6","6","1","44",1.4,10.2,17
"2022","SCHOOL","6440173","Metro RESA","644","DeKalb County","Vanderlyn Elementary School","0173","38",".8","8","8.2","2.8","42.3",1.9,11.2,14.4
"2023","SCHOOL","6440173","Metro RESA","644","DeKalb County","Vanderlyn Elementary School","0173","32.2",".2","8.6","7.9","4.4","46.6",3.6,10.8,12.4
"2024","SCHOOL","6440173","Metro RESA","644","DeKalb County","Vanderlyn Elementary School","0173","28.6",".2","8.4","11","4.6","47.3",7.1,10.3,13.6
"2025","SCHOOL","6440173","Metro RESA","644","DeKalb County","Vanderlyn Elementary School","0173","25.7",".7","9.5","11.1","5.3","47.7",7.7,11.5,12.6
"2018","SCHOOL","6440175","Metro RESA","644","DeKalb County","Austin Elementary School","0175","25","0","3","6","4","63",1,5,11
"2019","SCHOOL","6440175","Metro RESA","644","DeKalb County","Austin Elementary School","0175","27","0","2","6","4","61",0.7,5,12
"2020","SCHOOL","6440175","Metro RESA","644","DeKalb County","Austin Elementary School","0175","25","0","2","7","4","63",0.3,6.4,13
"2021","SCHOOL","6440175","Metro RESA","644","DeKalb County","Austin Elementary School","0175","31","0","3","7","5","54",0.9,8,17
"2022","SCHOOL","6440175","Metro RESA","644","DeKalb County","Austin Elementary School","0175","34.1",".3","4.4","7.3","4.6","49.3",0.3,10.3,19.2
"2023","SCHOOL","6440175","Metro RESA","644","DeKalb County","Austin Elementary School","0175","31",".6","6.1","8.6","4.9","48.9",1.3,9,18.6
"2024","SCHOOL","6440175","Metro RESA","644","DeKalb County","Austin Elementary School","0175","30.7",".4","7.1","7.8","6","48.1",4.7,10.2,18.5
"2025","SCHOOL","6440175","Metro RESA","644","DeKalb County","Austin Elementary School","0175","29.2",".9","6.9","7.4","7","48.6",3.2,11.4,17.6
"2018","SCHOOL","6440176","Metro RESA","644","DeKalb County","Redan High School","0176","1","0","93","4","2","0",46.3,12,3
"2019","SCHOOL","6440176","Metro RESA","644","DeKalb County","Redan High School","0176","1","0","93","4","1","1",43.2,13,3
"2020","SCHOOL","6440176","Metro RESA","644","DeKalb County","Redan High School","0176","1","0","91","6","1","1",40.4,14.8,3
"2021","SCHOOL","6440176","Metro RESA","644","DeKalb County","Redan High School","0176","1","0","91","7","1","1",47.8,16.9,4
"2022","SCHOOL","6440176","Metro RESA","644","DeKalb County","Redan High School","0176","1.1",".2","89","7.1","1.7",".9",39.3,16.5,3.4
"2023","SCHOOL","6440176","Metro RESA","644","DeKalb County","Redan High School","0176","1.2",".2","88.4","7.7","1.7",".8",44.3,16.2,3.5
"2024","SCHOOL","6440176","Metro RESA","644","DeKalb County","Redan High School","0176","1.4",".4","86.2","9","1.4","1.5",72.3,17,5.1
"2025","SCHOOL","6440176","Metro RESA","644","DeKalb County","Redan High School","0176","1.9",".4","84.1","9.9","2.2","1.5",64.8,16.2,6.3
"2018","SCHOOL","6440181","Metro RESA","644","DeKalb County","Eldridge Miller Elementary School","0181","0","0","89","8","2","1",63.1,9,5
"2019","SCHOOL","6440181","Metro RESA","644","DeKalb County","Eldridge L. Miller Elementary School","0181","1","1","91","5","1","1",61.3,9,4
"2020","SCHOOL","6440181","Metro RESA","644","DeKalb County","Eldridge L. Miller Elementary School","0181","2","1","87","7","3","1",61.8,9.3,6
"2021","SCHOOL","6440181","Metro RESA","644","DeKalb County","Eldridge L. Miller Elementary School","0181","2","0","84","8","3","2",68.5,10.6,7
"2022","SCHOOL","6440181","Metro RESA","644","DeKalb County","Eldridge L. Miller Elementary School","0181","2.2",".7","83.4","9.5","2.7","1.5",56.3,8.8,6.4
"2023","SCHOOL","6440181","Metro RESA","644","DeKalb County","Eldridge L. Miller Elementary School","0181","2.5",".4","82","10.5","2.8","1.8",63,8.5,8
"2024","SCHOOL","6440181","Metro RESA","644","DeKalb County","Eldridge L. Miller Elementary School","0181","2.4",".6","80.7","12.2","2.9","1.2",83.7,9.6,8.6
"2025","SCHOOL","6440181","Metro RESA","644","DeKalb County","Eldridge L. Miller Elementary School","0181","2.4",".2","78.1","14.2","3.6","1.6",75.2,8.7,12.1
"2018","SCHOOL","6440188","Metro RESA","644","DeKalb County","Panola Way Elementary School","0188","0","0","92","6","2","0",66.1,10,3
"2019","SCHOOL","6440188","Metro RESA","644","DeKalb County","Panola Way Elementary School","0188","0","0","91","5","3","1",65,10,3
"2020","SCHOOL","6440188","Metro RESA","644","DeKalb County","Panola Way Elementary School","0188","0","0","92","6","1","0",62.1,11.3,3
"2021","SCHOOL","6440188","Metro RESA","644","DeKalb County","Panola Way Elementary School","0188","0","0","94","5","1","0",69.1,9.2,2
"2022","SCHOOL","6440188","Metro RESA","644","DeKalb County","Panola Way Elementary School","0188",".3",".5","89","5.9","3.6",".7",60.8,10.4,2.8
"2023","SCHOOL","6440188","Metro RESA","644","DeKalb County","Panola Way Elementary School","0188",".4","1.1","87.6","7.4","3.1",".4",64.4,9,2.3
"2024","SCHOOL","6440188","Metro RESA","644","DeKalb County","Panola Way Elementary School","0188",".1",".9","86.6","9.1","2.5",".8",85.6,12.1,3.4
"2025","SCHOOL","6440188","Metro RESA","644","DeKalb County","Panola Way Elementary School","0188",".7",".6","84.9","10","2.7","1",79.5,13,3.6
"2018","SCHOOL","6440189","Metro RESA","644","DeKalb County","Peachtree Charter Middle School","0189","8","1","16","33","2","40",13,12,26
"2019","SCHOOL","6440189","Metro RESA","644","DeKalb County","Peachtree Charter Middle School","0189","9","0","15","35","2","39",12.3,11,27
"2020","SCHOOL","6440189","Metro RESA","644","DeKalb County","Peachtree Middle School","0189","9","1","15","38","2","35",12.9,11.6,31
"2021","SCHOOL","6440189","Metro RESA","644","DeKalb County","Peachtree Middle School","0189","11","0","15","39","3","33",16.8,11.9,31
"2022","SCHOOL","6440189","Metro RESA","644","DeKalb County","Peachtree Middle School","0189","9.5",".5","16.4","43.8","2.9","26.8",14.8,12.9,35.3
"2023","SCHOOL","6440189","Metro RESA","644","DeKalb County","Peachtree Middle School","0189","7.5",".4","16.7","45.2","2.9","27.3",17.2,14,36.3
"2024","SCHOOL","6440189","Metro RESA","644","DeKalb County","Peachtree Middle School","0189","5.9",".7","16.8","47.3","3.2","26.1",36.3,13.5,38
"2025","SCHOOL","6440189","Metro RESA","644","DeKalb County","Peachtree Middle School","0189","6",".3","16.2","48","4.1","25.4",30.2,13.3,39.2
"2018","SCHOOL","6440190","Metro RESA","644","DeKalb County","Pine Ridge Elementary School","0190","1","0","88","7","1","2",51.2,12,7
"2019","SCHOOL","6440190","Metro RESA","644","DeKalb County","Pine Ridge Elementary School","0190","1","1","83","10","2","3",49,8,10
"2020","SCHOOL","6440190","Metro RESA","644","DeKalb County","Pine Ridge Elementary School","0190","1","1","84","11","2","1",50.9,9.6,9
"2021","SCHOOL","6440190","Metro RESA","644","DeKalb County","Pine Ridge Elementary School","0190","2","1","85","10","2","1",56.8,8.6,8
"2022","SCHOOL","6440190","Metro RESA","644","DeKalb County","Pine Ridge Elementary School","0190","2.6",".3","79.2","14.3","2.1","1.5",44.9,9.1,9.6
"2023","SCHOOL","6440190","Metro RESA","644","DeKalb County","Pine Ridge Elementary School","0190","2.4",".2","77.1","15","4.1","1.2",49.3,7.5,8.7
"2024","SCHOOL","6440190","Metro RESA","644","DeKalb County","Pine Ridge Elementary School","0190","2.4",".3","76.6","16.8","2.6","1.2",78.8,9,10.9
"2025","SCHOOL","6440190","Metro RESA","644","DeKalb County","Stephenson Elementary School","0190","3.3",".2","72.9","19.2","2.8","1.6",68.5,11.3,14.7
"2018","SCHOOL","6440191","Metro RESA","644","DeKalb County","Browns Mill Elementary School","0191","0","0","94","3","2","1",57.1,7,1
"2019","SCHOOL","6440191","Metro RESA","644","DeKalb County","Browns Mill Elementary School","0191","0","1","94","4","1","1",54.2,8,1
"2020","SCHOOL","6440191","Metro RESA","644","DeKalb County","Browns Mill Elementary School","0191","0","1","92","4","2","1",55.6,8.1,2
"2021","SCHOOL","6440191","Metro RESA","644","DeKalb County","Browns Mill Elementary School","0191","1","1","90","5","2","1",66.8,9.3,2
"2022","SCHOOL","6440191","Metro RESA","644","DeKalb County","Browns Mill Elementary School","0191",".7",".7","87.2","7.7","2.3","1.4",52.9,8.8,2.1
"2023","SCHOOL","6440191","Metro RESA","644","DeKalb County","Browns Mill Elementary School","0191",".5",".7","89","6.3","2.3","1.2",54.9,11.2,1.6
"2024","SCHOOL","6440191","Metro RESA","644","DeKalb County","Browns Mill Elementary School","0191","1.1",".4","86.5","9.2","1.7","1.1",82.7,8.6,2.1
"2025","SCHOOL","6440191","Metro RESA","644","DeKalb County","Browns Mill Elementary School","0191",".9",".2","87.1","8","3.4",".4",72.5,8.4,2.4
"2018","SCHOOL","6440193","Metro RESA","644","DeKalb County","Chapel Hill Middle School","0193","1","0","97","1","1","0",47.4,11,1
"2019","SCHOOL","6440193","Metro RESA","644","DeKalb County","Chapel Hill Middle School","0193","1","0","95","1","2","1",44.1,11,1
"2020","SCHOOL","6440193","Metro RESA","644","DeKalb County","Chapel Hill Middle School","0193","1","0","95","1","1","1",48.3,12,2
"2021","SCHOOL","6440193","Metro RESA","644","DeKalb County","Chapel Hill Middle School","0193","0","0","96","2","2","1",53.5,11.9,1
"2022","SCHOOL","6440193","Metro RESA","644","DeKalb County","Chapel Hill Middle School","0193",".3",".1","92.4","3.9","2.2","1.1",40.3,12.8,2.3
"2023","SCHOOL","6440193","Metro RESA","644","DeKalb County","Chapel Hill Middle School","0193",".6",".3","91.1","4.3","2.6","1.1",48,14,2
"2024","SCHOOL","6440193","Metro RESA","644","DeKalb County","Chapel Hill Middle School","0193",".4",".1","91.4","4.5","2.8",".8",75.3,14.8,3.2
"2025","SCHOOL","6440193","Metro RESA","644","DeKalb County","Chapel Hill Middle School","0193","1.6","0","90.3","4.6","2.8",".7",70,14.4,3
"2018","SCHOOL","6440197","Metro RESA","644","DeKalb County","Marbut Elementary School","0197","0","0","96","3","1","0",44.9,7,2
"2019","SCHOOL","6440197","Metro RESA","644","DeKalb County","Marbut Elementary School","0197","0","0","97","2","1","0",42.2,8,2
"2020","SCHOOL","6440197","Metro RESA","644","DeKalb County","Marbut Elementary School","0197","0","0","96","2","2","0",43.5,7.5,1
"2021","SCHOOL","6440197","Metro RESA","644","DeKalb County","Marbut Elementary School","0197","0","0","96","3","1","0",50.7,6.9,1
"2022","SCHOOL","6440197","Metro RESA","644","DeKalb County","Marbut Elementary School","0197",".2","0","95.8","2.3","1.6","0",38.5,6.1,0.9
"2023","SCHOOL","6440197","Metro RESA","644","DeKalb County","Marbut Elementary School","0197",".5","0","93.8","2.6","3.1","0",45,7.5,1.2
"2024","SCHOOL","6440197","Metro RESA","644","DeKalb County","Marbut Elementary School","0197","0","0","92.4","3.3","4.1",".3",73.6,6.9,1
"2025","SCHOOL","6440197","Metro RESA","644","DeKalb County","Marbut Elementary School","0197","0",".3","90.6","5.2","3.6",".3",66.9,6,1
"2018","SCHOOL","6440200","Metro RESA","644","DeKalb County","Cedar Grove Middle School","0200","0","0","95","3","1","1",52.5,18,2
"2019","SCHOOL","6440200","Metro RESA","644","DeKalb County","Cedar Grove Middle School","0200","0","0","94","3","2","1",46.7,17,2
"2020","SCHOOL","6440200","Metro RESA","644","DeKalb County","Cedar Grove Middle School","0200","0","0","94","3","2","0",49.4,13.8,2
"2021","SCHOOL","6440200","Metro RESA","644","DeKalb County","Cedar Grove Middle School","0200","0","0","94","3","1","0",58.2,14.1,2
"2022","SCHOOL","6440200","Metro RESA","644","DeKalb County","Cedar Grove Middle School","0200",".3","0","93.6","3.6","2",".3",50.2,16.5,2.5
"2023","SCHOOL","6440200","Metro RESA","644","DeKalb County","Cedar Grove Middle School","0200",".2",".4","91.5","5.1","2.3",".3",53.7,15.1,2.5
"2024","SCHOOL","6440200","Metro RESA","644","DeKalb County","Cedar Grove Middle School","0200",".5",".2","91.2","5.8","1.9",".4",81.7,16.5,3.2
"2025","SCHOOL","6440200","Metro RESA","644","DeKalb County","Cedar Grove Middle School","0200",".5",".5","90.2","6.3","2",".5",75.9,18.3,3.2
"2018","SCHOOL","6440201","Metro RESA","644","DeKalb County","Freedom Middle School","0201","32","0","59","4","1","5",59.6,11,53
"2019","SCHOOL","6440201","Metro RESA","644","DeKalb County","Freedom Middle School","0201","36","0","55","4","1","3",58.2,10,60
"2020","SCHOOL","6440201","Metro RESA","644","DeKalb County","Freedom Middle School","0201","33","0","58","4","1","4",57.2,9.5,58
"2021","SCHOOL","6440201","Metro RESA","644","DeKalb County","Freedom Middle School","0201","33","1","57","4","1","3",62.8,9.6,55
"2022","SCHOOL","6440201","Metro RESA","644","DeKalb County","Freedom Middle School","0201","30.5",".6","54.9","5.8","1.5","6.8",47.7,10,55.7
"2023","SCHOOL","6440201","Metro RESA","644","DeKalb County","Freedom Middle School","0201","30.7",".5","52.8","7.7","1.3","7.1",57.6,7.8,58.4
"2024","SCHOOL","6440201","Metro RESA","644","DeKalb County","Freedom Middle School","0201","31.3",".7","50.9","7.3","1.2","8.6",79.2,8.2,61.4
"2025","SCHOOL","6440201","Metro RESA","644","DeKalb County","Freedom Middle School","0201","32.7",".5","48.7","7.7","1.3","9.1",69.7,7.3,64.4
"2018","SCHOOL","6440202","Metro RESA","644","DeKalb County","Lithonia High School","0202","1","0","92","6","1","1",44.2,14,3
"2019","SCHOOL","6440202","Metro RESA","644","DeKalb County","Lithonia High School","0202","0","0","92","6","1","1",41.8,15,3
"2020","SCHOOL","6440202","Metro RESA","644","DeKalb County","Lithonia High School","0202","0","0","92","5","2","1",42.4,15.2,3
"2021","SCHOOL","6440202","Metro RESA","644","DeKalb County","Lithonia High School","0202","0","0","93","5","1","0",49.2,14.7,2
"2022","SCHOOL","6440202","Metro RESA","644","DeKalb County","Lithonia High School","0202",".3",".3","91.2","5.5","1.7","1",38.9,16.1,3.2
"2023","SCHOOL","6440202","Metro RESA","644","DeKalb County","Lithonia High School","0202",".2",".6","90.9","6","1.7",".5",44.8,15.6,3.3
"2024","SCHOOL","6440202","Metro RESA","644","DeKalb County","Lithonia High School","0202",".6",".6","88.3","7.2","2.2","1.2",71.3,13.9,5.2
"2025","SCHOOL","6440202","Metro RESA","644","DeKalb County","Lithonia High School","0202","1.2",".6","87.3","7","2.3","1.6",64.3,15.3,6.2
"2018","SCHOOL","6440203","Metro RESA","644","DeKalb County","Lithonia Middle School","0203","0","0","93","5","1","0",58.2,12,3
"2019","SCHOOL","6440203","Metro RESA","644","DeKalb County","Lithonia Middle School","0203","0","0","94","5","1","0",55.4,14,4
"2020","SCHOOL","6440203","Metro RESA","644","DeKalb County","Lithonia Middle School","0203","0","0","92","6","2","0",53.5,13.9,5
"2021","SCHOOL","6440203","Metro RESA","644","DeKalb County","Lithonia Middle School","0203","0","0","91","6","2","0",61.6,13.1,5
"2022","SCHOOL","6440203","Metro RESA","644","DeKalb County","Lithonia Middle School","0203",".4",".2","89.1","7.1","2.7",".5",48,14.4,5.6
"2023","SCHOOL","6440203","Metro RESA","644","DeKalb County","Lithonia Middle School","0203",".3",".5","87.5","8.4","2.6",".7",55.6,14.8,5.3
"2024","SCHOOL","6440203","Metro RESA","644","DeKalb County","Lithonia Middle School","0203","1.2",".4","85.8","8.6","2.5","1.6",77,15.2,7.1
"2025","SCHOOL","6440203","Metro RESA","644","DeKalb County","Lithonia Middle School","0203","1.5",".5","86.2","7.1","2.8","1.9",76.6,15.8,8.3
"2018","SCHOOL","6440205","Metro RESA","644","DeKalb County","Redan Middle School","0205","1","0","91","5","1","1",55.8,18,4
"2019","SCHOOL","6440205","Metro RESA","644","DeKalb County","Redan Middle School","0205","1","0","91","5","2","1",54.3,17,4
"2020","SCHOOL","6440205","Metro RESA","644","DeKalb County","Redan Middle School","0205","1","0","90","5","2","1",51.7,16.2,4
"2021","SCHOOL","6440205","Metro RESA","644","DeKalb County","Redan Middle School","0205","1","0","89","7","2","1",60.6,18.1,5
"2022","SCHOOL","6440205","Metro RESA","644","DeKalb County","Redan Middle School","0205","1.2",".4","87.5","8.2","2.1",".7",50.9,16.1,6.3
"2023","SCHOOL","6440205","Metro RESA","644","DeKalb County","Redan Middle School","0205","1.3",".4","85.3","9.3","2.6","1.3",53.7,14.4,7.5
"2024","SCHOOL","6440205","Metro RESA","644","DeKalb County","Redan Middle School","0205","2.6",".3","82.9","10.4","3",".8",80.9,15.1,9.8
"2025","SCHOOL","6440205","Metro RESA","644","DeKalb County","Redan Middle School","0205","2.6",".8","80.5","11.9","3","1.2",73.2,15.3,11.5
"2018","SCHOOL","6440214","Metro RESA","644","DeKalb County","Dunwoody Elementary School","0214","31","0","16","8","4","40",4.5,8,16
"2019","SCHOOL","6440214","Metro RESA","644","DeKalb County","Dunwoody Elementary School","0214","37","0","15","9","4","35",3.9,9,18
"2020","SCHOOL","6440214","Metro RESA","644","DeKalb County","Dunwoody Elementary School","0214","36","1","16","9","5","34",4.8,8.4,16
"2021","SCHOOL","6440214","Metro RESA","644","DeKalb County","Dunwoody Elementary School","0214","35","1","17","8","6","33",7.5,8.7,16
